
# --- added by sourcing run 2026-07-20 ---
cast_iron_horse_cart.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Bertha_Semple,_Cast_Iron_Toy_Bank,_c._1939,_NGA_29228.jpg
mechanical_bank.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Chris_Makrenos,_Cast_Iron_Toy_Bank_-_Masons,_c._1937,_NGA_20756.jpg
building_bank.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Dorothy_Brennan,_Cast_Iron_Toy_Bank_-_Independence_Hall,_c._1937,_NGA_20694.jpg
toy_stove.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Edmond_Lorts,_Cast_Iron_Toy_Stove,_c._1939,_NGA_26995.jpg
clown_bank.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lew_Tower,_Cast_Iron_Toy_Bank_-_Humpty_Dumpty,_c._1937,_NGA_20774.jpg
fire_engine_team.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Toy_Cast_Iron_Fire_Engine.jpg
ladder_wagon.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Toy_Cast_Iron_Hook_and_Ladder_Wagon.jpg
ice_wagon.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Toy_Cast_Iron_Horse_Drawn_Ice_Wagon.jpg
horse_cart.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Toy_Cast_Iron_Hose_Reel_Wagon_of_Granville_Swanks.jpg
chess_piece_ivory.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/2000.1007.2
chess_piece_ivory_2.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/2000.1007.1
chess_pieces_ivory.webp | CC0 1.0 | Cleveland Museum of Art | https://clevelandart.org/art/2000.1007
chess_piece_blue.webp | CC0 (Public Domain) | Art Institute of Chicago | https://www.artic.edu/artworks/67683
