leek.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Leek_on_a_white_background.png
lemon.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lemon_with_white_background.jpg
lemon_2.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lemon_Grey_2252546.jpg
lollipop.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Lollipop-Rainbox-Swirl.jpg
mango.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:USDA_Eat_Healthy_Food_Group_Gallery_serving_size_medium_mango.jpg
marian_plum.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Marian_plum_fruits.jpg
mead_jug.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Honey-Fruit-Mead-Brewing.jpg
melon_pan.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Melon-pan_001.jpg
okra.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Abelmoschus_esculentus_in_Margarita_Island.jpg
passion_fruit.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Passiflora_passion_fruit_cross_section_with_white_background.jpg
pea_pod.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:NCI_peas_in_pod.jpg
pea_pods.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Peas.jpg
peanut_brittle.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Planters-Peanut-Bar.jpg
peanut_pattie.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Dickies-Peanut-Pattie.jpg
persimmon.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:%D0%A5%D1%83%D1%80%D0%BC%D0%B0-%D1%80%D0%BE%D0%BC%D0%B0%D1%88%D0%BA%D0%B0_(fig_persimmons),_%D0%BD%D0%BE%D1%8F%D0%B1%D1%80%D1%8C_2025_07.jpg
persimmons.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:%D0%A5%D1%83%D1%80%D0%BC%D0%B0-%D1%80%D0%BE%D0%BC%D0%B0%D1%88%D0%BA%D0%B0_(fig_persimmons),_%D0%BD%D0%BE%D1%8F%D0%B1%D1%80%D1%8C_2025_01.jpg
plum.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Red-Plums.jpg
portobello_mushrooms.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Baby-Port-Mushrooms.jpg
potato.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Potato_with_sprouts.jpg
potato_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Russet_potato_cultivar_with_sprouts.jpg
pretzel_crisps.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Pretzel-Crisps.jpg
red_bell_pepper.webp | CC0 | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Red-Pepper.jpg
